story,code1,code2,code3
صافى القرض 47000 جمعدد الاقساط 108 قسطقيمة القسط 837.99 جمبداية السداد 62019الاستحقاق     52028 ويستنزل الرصيد السابق,41,,
صافى القرض 47000 جمعدد الاقساط 120 شهرقيمة القسط 743.95 جممن 102016الى 92026 ويستنزل الرصيد السابق,41,,
صافى القرض 47000 جمعدد الاقساط 120 قسطقيمة القسط 743.95 جمبداية السداد 82016الاستحقاق     72026ةيستنزل الرصيد السابف,41,,
صافى القرض 47000 جمعدد الاقساط 60 قسطقيمة القسط 1155.48 جممن   62019الى  52024 ويستنزل الرصيد السابق,41,,
صافى القرض 47000 جمعدد الاقساط 72قيمة القسط 955.95 جممن 122013 الى 112019,41,,
صافى القرض 47000 جمعدد الاقساط 84 قسطقيمة القسط 974.12 جمبداية السداد 72019الاستحقاق     62026,41,,
صافى القرض 47000 جمعدد الاقساط 866قيمة القسط جم1153.01من 062018الى 112023,41,,
صافى القرض 48000 جمعدد الاقساط 120 قسط قيمة القسط 849.50 جمبداية السداد 122017الاستحقاق     112027ويستنزل منه رصيد القرض السابق,41,,
صافى القرض 48000 حمعدد الاقساط 120 قسطقيمة القسط 730.92 جمبداية السداد62016الاستحقاق    52026  ويستنزل الرصيد السابق,41,,
صافى القرض 4885 جم بخلاف العائد 195:5 جم يسدد على 60 قسط يبدا فى 04200:6 وينتهى فى 032011 قيمة القسط 114 :جم :مطلوب تحديث بيانات العميل,88,,
صافى القرض 49000 جمعدد الاقساط 141 قسطقيمة الثسط 821.22 جمبداية السداد 22019 الاستحقاق     102030 ويستنزل الرصيد السابق,41,,
صافى القرض 49000 جمعدد الاقساط 144 قسطقيمة القسط 816.04 جمبداية السداد 52019الاستحقاق     42031,41,,
صافى القرض 49000 جمعدد الاقساط 84 قسطقيمة القسط 1015.57 جمبداية السداد 102019الاستحقاق     092026 ويستنزل الرصيد السابق,41,,
صافى القرض 4957 جم يسددعلى 84 قسط ش:هرى قيمة القسط 90 جم يبدامن 052009: حتى 042016   :مطلوب تحديث بيانات :العميل00,88,,
صافى القرض 50000  جمعدد الاقساط 84 قسطقيمة القسط 923.25بداية السداد 72012الاستحقاق 62019,41,,
صافى القرض 50000  جمعدد الاقساط 84 قسطقيمة القسط 923.25بداية السداد 72012الاستحقاق 62019 يستنزل منه رصيد ال:قرض السابق,41,,
صافى القرض 50000 جمعدد الاقساط 120 قسطقيمة القسط 761.38 جمبداية 12016استحقاق 122025 ويستنزل منه رصيد القرض السابق:,41,,
صافى القرض 50000 جمعدد الاقساط 120 قسطقيمة القسط 761.38 جمبداية السداد 122015الاستحقاق     112025,41,,
صافى القرض 50000 جمعدد الاقساط 120 قسطقيمة القسط 933.37 جمبداية السداد 42018الاستحقاق     32028  اجراءات قانو:نية,41,,
صافى القرض 50000 جمعدد الاقساط 60 قسطقيمة القسط 1229.23 جمبداية    32019الاستحقاق 22024 ويستنزل الرصيد السابق,41,,
صافى القرض 50000 جمعدد الاقساط 72 قسطقيمة لقسط 1016.95 جمبداية السداد 122015الاستحقاق     112021 ويستنزل  الرصيد القديم,41,,
صافى القرض 50000 جمعدد الاقساط 84 قسطقيمة القسط 923.25 جمبداية السداد 12016الاستحقاق    122022,41,,
