action_code,action_description
1,Post No Debits
2,Post No Credits
3,Post No Entries
80,Block Save Private Treasury
31,Block - Country Restriction
12,Customer Deceased
4,Sanctions Restriction
5,Block For Joint Partner
6,Refer To The Client File
7,Taxes Restrictions
8,Minor Becomes Adult
9,Customs Restrictions
10,Legal Actions
11,Compliance Issue
13,Delinquent Client
14,Suspicious Documents
15,Under Establishment
90,Pending Closure
16,Account recently opened
17,Memo Low Severity instruction
18,Memo High severity instruction
70,Dormant Customer
99,Customer Closure
29,Referral-Low Acct Memo Exist
33,Unclaimed Account
34,Minor with Court Guardian
35,Minor with Trustee
36,Minor with Donor
39,Judicial Guard
63,Stopped Account
88,Update Customer details
20,CAD Customer
89,Flex Cube Pending Closure
21,Past Dues Customer
22,Account No Debit
23,Account No Credit
24,Acct No Entries
25,Acct Debit Override
26,Acct Credit Override
27,Acct No Entries Override
28,High Acct Memo Exist
30,Authorization Required Debit TXN
32,Under Legal Circumspection -AC
37,Interdicted with Trustee
38,Bankrupt
40,Bankrupt Allowed to Trade
41,Written of customer
NULL,No action
