story,action_code1,action_code2,action_code3
مطلوب تحديث بيانات العميل,88,,
مطلوب تحديث البيانات,88,,
للعميل بريد مرتد,17,,
Major customer now,8,,
Customer has 1 loans so far.:مطلوب :تحديث بيانات العميل,88,17,
تم منح العميل محفظة قاهرة كاش تجار :فى حالة رغبة العميل بفتح حساب يتم أ:ستيفاء نموذج 1 ح ج,30,,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل,88,,
Customer has 2 loans so far.:مطلوب :تحديث بيانات العميل,88,17,
مطلوب تحديث بيانات العميل:Major cus:tomer now,88,8,
Customer has 3 loans so far.:مطلوب :تحديث بيانات العميل,88,17,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore,12,,
Customer has 4 loans so far.:مطلوب :تحديث بيانات العميل,88,17,
اخطار بوفاة العميل من خلال بيانات: الشركة المصرية للاستعلام الائتماني:  IScore,12,,
Major customer now:Major customer n:ow,8,,
العميل ختم وبصمه,10,11,
مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,,
العميل له محفظه قاهره كاش في حاله ر:غبه العميل بفتح حساب بالبنك يلزم اس:تيفاء نموذج 1ح ج,30,,
للعميل بريدمرتد,17,,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:مطلوب تحديث بيانات: العميل,88,,
بريد مرتد,17,,
Customer has 5 loans so far.:مطلوب :تحديث بيانات العميل,88,,
ختم وبصمه,10,11,
تم منح العميل محفظة قاهرة كاش تجار: فى حالة رغبة العميل بفتح حساب يتم :أستيفاء نموذج 1 ح ج,30,,
Customer has 6 loans so far.:مطلوب :تحديث بيانات العميل,88,,
عدم السحب تمويل عقارى,1,32,
Customer has 1 loans so far.,17,,
Customer has 7 loans so far.:مطلوب :تحديث بيانات العميل,88,,
عدم السحب من حساب التمويل العقارى,1,32,
عدم السحب تمويل عقاري,1,32,
تم منح العميل محفظة قاهرة كاش تجا:ر فى حالة رغبة العميل بفتح حساب يتم: أستيفاء نموذج 1 ح ج,30,,
العميل متوفى,12,,
اخطار بوفاة العميل من خلال بيانات :الشركة المصرية للاستعلام الائتماني : IScore,12,,
Customer has 2 loans so far.,17,,
عميل ختم وبصمه,10,11,
